,Démarche,Date,Identifiant,Satisfaction,Verbatim,Facilité,Simplicité,Difficulté,Autre difficulté,Aide,Autre aide,Source
1249,Simuler mes droits sociaux,2021/01/18 16:13:19,2424125,Très bien,"Depuis 3 ans j' aurai pu bénéficier d' aide : apl, rsa, mutuelle css, cheque énergie: 28320 euros ...",Bon,Bon,-,-,-,-,button
1250,Simuler mes droits sociaux,2021/01/18 16:13:08,2424124,Moyen,Les estimations ne sont pas fiable du tout! on m'annonce que je peux avoir le droit à 710€ de rsa et sur la caf je n'ai le droit à rien,Bon,Bon,"La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai...",-,-,-,button
1251,Simuler mes droits sociaux,2021/01/18 16:13:00,2424123,Moyen,"On m'annonce 2 aides potentielles ""Allocation Solidarité aux personnes âgées"" et la ""CSS"" Ensuite en cliquant sur les liens tout est mis en place pour décourager les éventuelles demandes.... Quand je payais mes charges salariales là par contre aucun problèmes pour piocher sur mon salaire ! Le gouvernement ne peut-il pas exiger des organismes à avoir un laguage clair et penser que nous ne sommes pas tous égaux devant leur charabias administratifs ? En vous remerciant par avance.",Bon,Moyen,"La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai...",-,-,-,button
1252,Simuler mes droits sociaux,2021/01/18 16:11:23,2424109,Pas bien,"Bonjour, c'est nul, avec le résultat du simulateur nous avions le droit à 3 aides et en fait, quand on va sur le site des prestataires, nous n'avons aucun droit, une vraie fausse joie.",Mauvais,Mauvais,"Manque d'informations avant de commencer la démarche ; La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai...",-,-,-,button
1253,Simuler mes droits sociaux,2021/01/18 15:53:07,2423971,Moyen,SEULE CE N EST PAS FACILE QUAND ON NE MAITRISE PAS BIEN L ORDINATEUR JE PENSE QU IL Y A UN UN PROBLEME SUR LE CALCULE ,Moyen,Bon,Autre,-,Un(e) proche,-,button
1254,Simuler mes droits sociaux,2021/01/18 15:53:00,2423969,Très bien,RAS,Bon,Bon,-,-,-,-,button
1255,Simuler mes droits sociaux,2021/01/18 15:43:08,2423889,Très bien,Le montant indiqué n est pas le bon .mon epouse ne perçoit rien,Bon,Bon,-,-,-,-,button
1256,Simuler mes droits sociaux,2021/01/18 15:41:43,2423877,Très bien,Très instructif,Bon,Bon,-,-,-,-,button
1257,Simuler mes droits sociaux,2021/01/18 15:40:56,2423869,Pas bien,la réponse est erronée malgré les bons critères rentrés.,Mauvais,Mauvais,La démarche n'a pas fonctionné,-,-,-,button
1258,Simuler mes droits sociaux,2021/01/18 15:38:57,2423853,Pas bien,j',Bon,Bon,Autre,"j'ai fait des smulations sur la CAF et droits = ""0"" ni APL ni prime activité",-,-,button
1259,Simuler mes droits sociaux,2021/01/18 15:28:04,2423774,Pas bien,"cela fait plusieurs fois que la simulation ne fonctionne pas, c'est très pénible, je passe énormément de temps à remplir soigneusement et en détails chaque catégorie, pour qu'au final on me dise qu'un incident technique est survenu, que ce soit sur ordinateur ou mobile, et ce, depuis plusieurs semaines.",Moyen,Bon,La démarche n'a pas fonctionné,-,-,-,button
1260,Simuler mes droits sociaux,2021/01/18 15:16:51,2423682,Moyen,bjr pour manque d'informations sur mes revenus fiscal 2019 2020 - le dossier en cours est incomplet veuillez m'excuser. Voudrait revoir mes droits de pension de retraite - et ne percevant pas de retraite complémentaire est ce que je peux faire une demarche pour connaitre mes droits etant Agent Administratif du CHU de la Guadeloupe jusqu'à decembre 2019.,Bon,Bon,Difficulté à joindre les pièces justificatives,-,Autre,pour la retraite complementaire ,button
1261,Simuler mes droits sociaux,2021/01/18 15:15:02,2423665,Très bien,Démarche très satisfaisante,Bon,Bon,-,-,-,-,button
1262,Simuler mes droits sociaux,2021/01/18 15:10:00,2423621,Moyen,je n'ai pas compris le resultat de la simulation.droits sociaux non exprimés En ai-je ou pas?? aucune reponse,-,-,La démarche n'a pas fonctionné,-,-,-,button
1263,Simuler mes droits sociaux,2021/01/18 15:06:27,2423604,Moyen,"Depuis 2019, j'ai dû quitter mon habitation à MORNE/A/L'EAU ; violences perpétrées à mon endroit par le fils de mon défunt é-poux ; j'ai été hébergée par mon frère mais je ne devais pas rester chez lui. j'ai obtenu ce logement par la SEMSAMAR? MAIS LE MONTANT DU LOYER, vu ma petite retraite me coûte. J'ai besoin d'aide pour achat de matériels nécessaires ( réfrigérateur, machine à laver,........) merci pour votre disponibilité à me lire. ",Bon,Moyen,"Manque d'informations sur la suite, le délai... ; Autre",je perçois une modique somme de retraite et veuve ne percevant rien de mon défunt mari.,Autre,une aide financière pour le loyer que je paie,button
1264,Simuler mes droits sociaux,2021/01/18 15:06:13,2423602,Pas bien,"du pipeau votre simulation, après connexion sur les démarches a entreprendre = ....non éligible.  Site pour amuser la galerie...",Bon,Bon,"Manque d'informations sur la suite, le délai...",-,-,-,button
1265,Simuler mes droits sociaux,2021/01/18 14:58:55,2423556,Moyen,"Je suis perdu,car je ne connais toujours pas mes droits.Dans l'attente d'une prompte réponse bien cordialement.",Moyen,Moyen,"Manque d'informations avant de commencer la démarche ; Difficulté à joindre les pièces justificatives ; Manque d'informations sur la suite, le délai... ; Autre",-,Une association ; Un agent administratif,-,button
1266,Simuler mes droits sociaux,2021/01/18 14:55:24,2423526,Moyen,"le site comme les sites en général, s'adresse aux personnes connaissant l'informatique. Il faut indications plus parlantes, comme salaires au lieu de revenus d'activité.   ",Moyen,Mauvais,"Manque d'informations sur la suite, le délai...",-,-,-,button
1267,Simuler mes droits sociaux,2021/01/18 14:51:05,2423485,Moyen,Il faudrait envoyer directement la simulation à la caf ou msa.,Bon,Bon,-,-,-,-,button
1268,Simuler mes droits sociaux,2021/01/18 14:47:44,2423453,Pas bien,"situation précaire : missions d'intérim, sans travail après un CDD de trois mois. Quels sont mes droits ?",Bon,Bon,-,-,-,-,button
1269,Simuler mes droits sociaux,2021/01/18 14:43:57,2423430,Pas bien,Propose des aides et quand on clique dessus les conditions notamment de revenus pour y prétendre sont ne correspondent pas. ,Bon,Moyen,-,-,-,-,button
1270,Simuler mes droits sociaux,2021/01/18 14:40:20,2423379,Pas bien,Le résultat de ce simulateur est la loterie.....,Moyen,Bon,La démarche n'a pas fonctionné ; Autre,On me propose le rsa alors que je travail en cdi,-,-,button
1271,Simuler mes droits sociaux,2021/01/18 14:34:29,2423331,Pas bien,TOUS LES RESULTATS SONT FAUX : AUCUNES AIDES SUPPLEMENTAIRES / A MA SITUATION !,Bon,Bon,Autre,NON,Autre,NON,button
1272,Simuler mes droits sociaux,2021/01/18 14:31:40,2423310,Très bien,SITE FACILE A UTILISER DOMMAGE QUE L'ON DOIVE ATTENDRE UNE EMISSION CAPITAL SUR M6 POUR SAVOIR QUE CELA EXISTE - J'AI PERDU DES ANNEES DE PRESTATION -,Bon,Bon,-,-,-,-,button
1273,Simuler mes droits sociaux,2021/01/18 14:30:29,2423297,Moyen,Le simulateur conclut que j'ai droit au RSA alors que je suis salarié et que mon salaire ne me le permet pas...,Moyen,Moyen,La démarche n'a pas fonctionné,-,-,-,button
1274,Simuler mes droits sociaux,2021/01/18 14:21:14,2423229,Pas bien,"un site a améliorer, il beugue a chaque tentative au niveau du résultat final, donc pas efficace .",Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
1275,Simuler mes droits sociaux,2021/01/18 14:12:42,2423169,Pas bien,je ne veut pas être inconvenante mais quand on fait une simulation c'est pour avoir un résultat pour après faire des démarches,Moyen,Moyen,-,-,Autre,que le résultat soit affiche et non 1% du livret d'épargne,button
1276,Simuler mes droits sociaux,2021/01/18 14:12:12,2423166,Très bien,Trés bon site le gros problème est que cela fait 1 semaine que j'essaie de demander ma prime d'activité auprés de la CAF en remplissant tout le dossier par internet mais arrivé aprés la demande pour le RIB une fois tout remplie le site me signale un problème technique et me renvoie à l'acceuil et ce depuis 1semaine chaque jour et impossible d'avoir la CAF de l'Allier au téléphone,Bon,Bon,-,-,-,-,button
1277,Simuler mes droits sociaux,2021/01/18 14:02:43,2423092,Très bien,Parfait ,Bon,Bon,-,-,-,-,button
1278,Simuler mes droits sociaux,2021/01/18 14:01:51,2423083,Très bien,c est bien,Bon,Bon,-,-,-,-,button
1279,Simuler mes droits sociaux,2021/01/18 14:00:57,2423074,Très bien,pour le moment tout est parfait,Bon,Bon,-,-,-,-,button
1280,Simuler mes droits sociaux,2021/01/18 14:00:10,2423065,Très bien,"Mon allocation adulte handicapée m'a été coupée car ma fille Chaima travaille à temps partiel, je ne comprends pas",Bon,Bon,-,-,Un agent administratif,-,button
1281,Simuler mes droits sociaux,2021/01/18 13:56:41,2423048,Moyen,"La nouvelle loi sur l,apl n,est pas à mon avantage ,le loyer est cher droit allouer de 26,99 sur un loyer avec charges je suis loin du compte ,je suis reconnu a la MDPH a 75% en qualité de travailleur avec un handicap et une pension d, invalidité sécurité sociale le pôle emploi est ass que l,on m,alloué.allocation de solidarité elle ne figure pas sur le simulateur.tres difficile de cocher les croix avec chaque cas . Le calcul sur je vois est loin de la réalité. Mon message nous sommes Perdant je n,ose pensez A la retraite. Mme Sissaoui Mes salutations respectueuses.",Moyen,Moyen,"Manque d'informations avant de commencer la démarche ; Difficulté à joindre les pièces justificatives ; Manque d'informations sur la suite, le délai...",-,Un agent administratif,-,button
1282,Simuler mes droits sociaux,2021/01/18 13:50:13,2423007,Très bien,NON,Bon,Bon,Manque d'informations avant de commencer la démarche,-,-,-,button
1283,Simuler mes droits sociaux,2021/01/18 13:47:59,2422990,Pas bien,"j'ai fait une simulation en m'appuyant sur mes documents et mes ressources réelles. La réponse est que j'ai le droit à 340€ de prime d'activité. En remplissant ma demande sur le site de la caf avec exactement les mêmes informations, j'ai une réponse négative, je n'ai le droit à rien. Qui a tord, qui a raison? A quel site dois-je me fier? Quelle perte de temps!",-,Moyen,"Manque d'informations sur la suite, le délai...",-,"Internet (site, forum…)",-,button
1284,Simuler mes droits sociaux,2021/01/18 13:46:28,2422983,Moyen,"Avec votre simulation prime d'activité à 220€,arrivé sur le site de la CAF avec les mêmes informations la primes s'élève à 33€ .. ",Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
1285,Simuler mes droits sociaux,2021/01/18 13:46:21,2422980,Pas bien,"Je ne vois pas de rubrique pour les non résidents . Ma retraite étant de 1000 euros /mois ,je ne bénéficie d'aucune aide ,aucun tiers payant ,etc ...j'ai le maximun à charge et je dépasse le plafond pour ASPA.je dois payer sur ma retraite  la sécurité sociale 120 euros .je ne peux avoir de mutuelle évidemment .La Côte d'ivoire où je réside  est loin d'être un paradis .Le consulat me répond qu'il ne peut rien pour moi . Avez-vous un département pour les non résidents .merci.Puis-je avoir une aide pour baisser ma cotisation CFE ? .Voyez que je ne roule pas sur l'or  !",Bon,Bon,-,-,Une association ; Un agent administratif,-,button
1286,Simuler mes droits sociaux,2021/01/18 13:44:47,2422975,Pas bien,La simulation me dit droit au apl mais cela ne fonctionne pas pour faire une demande,-,-,La démarche n'a pas fonctionné,-,Un agent administratif,-,button
1287,Simuler mes droits sociaux,2021/01/18 13:36:48,2422929,Très bien,Handicapé d'un accident du travail  le 22/01/2003 avec comme revenu ASS chômage  pour deux et 194 RSA POUR Me,Bon,Bon,-,-,Une association ; Un agent administratif,-,button
1288,Simuler mes droits sociaux,2021/01/18 13:31:19,2422902,Pas bien,Ais je droit à des aides? Je n' ai pas eu de réponse,Moyen,Moyen,Manque d'informations avant de commencer la démarche ; Difficulté à joindre les pièces justificatives,-,Autre,-,button
1289,Simuler mes droits sociaux,2021/01/18 13:31:02,2422897,Moyen,"On me donne comme résultat de faire une demande d'ASS, j'ai droit à l'ASS. Seulement j'en suis au 4ème mois. Les indépendants et salariés voient leur ASS suspendue après 3 mois, cela n'est pas pris en compte par le simulateur, je ne suis pas plus avancée. Je me retrouve avec mes seuls revenus auto entrepreneur. Chiffre d'affaire annuel 2020 = 205 euros, pour vous donner une idée du développement de mon AE depuis sa création fin 2019. 4 mois après sa création l'épidémie est arrivée et toute ma com est retombée comme un soufflé.  J'aurai juste voulu savoir si je pouvais prétendre à la prime d'activité, et si oui, combien ? N'ayant quasiment pas de chiffre je n'ai pas droit au fond de solidarité de l'état. Ayant un droit à l'ASS que je ne perçois plus puisqu'elle est ""suspendue"" automatiquement après 3 mois pour les personnes en activité (qu'elles aient des revenus ou pas) et par conséquent, ne pouvant fournir de notification de refus à la CAF, je ne peux pas non plus faire de demande de RSA.  Je n'ai pas pour autant envie de faire une cessation d'activité pour percevoir à nouveau de l'ASS dans 3 mois et vivre sempiternellement au crochet des aides sociales.  J'aimerai essayer de continuer à développer mon AE, parce que je pense que c'est possible d'en vivre modestement d'ici quelques mois en mettant le paquet...mais là... un coup de pouce n'aurait pas été de trop.  Mettre le paquet engendre quelques frais. J'en suis maintenant à ne plus pouvoir assumer mes charges fixes mensuelles, ou disons que ça va se compliquer à partir du mois prochain (ce mois de janvier 2021 j'ai perçue mon dernier versement d'ASS de décembre. Je vous écris cela, ce n'est pas que pour moi, car j'imagine que d'autres personnes se retrouvent dans ce genre de situation, à ne rentrer dans aucune case pour être aidées. Donc, en conclusion, il semble que votre simulateur ait quelques lacunes et ne connaisse pas les différentes réformes qui s'incluent dans chaque cas particulier.  Je souhaite néanmoins une excellente journée à qui me lira, et je vais prendre un rdv à la CAF ce sera plus simple...ou pas",Moyen,Bon,-,-,-,-,button
1290,Simuler mes droits sociaux,2021/01/18 13:27:41,2422878,Moyen,Comment peut-on avoir droit au RSA EN TRAVAILLANT c'est bizarre quand même. ,Bon,Bon,"Manque d'informations sur la suite, le délai...",-,-,-,button
1291,Simuler mes droits sociaux,2021/01/18 13:23:52,2422857,Pas bien,LE SIMULATEUR DIT QUE NOUS AVONS DROIT A UNE AIDE ET UNE FOIS SUR LE SITE DE LA CAF LEUR SIMULATEUR A EUX NOUS DISE QUE NOUS NY AVONS PAS DROIT! INUTILE,Moyen,Mauvais,Autre,INFOS A FOURNIR DIFFICILES A COMPRENDRE,Un(e) proche,-,button
1292,Simuler mes droits sociaux,2021/01/18 13:22:33,2422850,Très bien,"quand il faut corriger quelque chose, ce n'est pas simple car on ne peut pas revenir en arrière avec les flèches.",Moyen,Bon,-,-,-,-,button
1293,Simuler mes droits sociaux,2021/01/18 13:15:00,2422815,Pas bien,Affichage de prestations auxquelles je n'ai pas le droit (ALF pas applicable aux propriétaires en métropole selon la CAF),Bon,Bon,Autre,Affichage de prestations auxquelles je n'ai pas le droit (ALF pas applicable aux propriétaires en métropole selon la CAF),-,-,button
1294,Simuler mes droits sociaux,2021/01/18 13:06:15,2422772,Très bien,"Je me demande si votre simulateur fonctionne correctement... Je déclare entre 120K€ et 150K€  de revenu annuel, je paye plus de 50K€ d'impôts et vous me dites que j'ai droit à 850.€ par mois de RSA... Est ce qu'on ne marche pas sur la tête ?",Bon,Bon,-,-,-,-,button
1295,Simuler mes droits sociaux,2021/01/18 13:06:12,2422771,Pas bien,"En fait, ayant renseigné exactement les mêmes informations sur votre site que sur celui de la CAF, j'ai des réponse contraire. En effet votre site indique que nous avons droit à la prime d'activité alors que c'est non pour la CAF.",-,-,Autre,techniquement le site est bien au point,-,-,button
1296,Simuler mes droits sociaux,2021/01/18 13:03:04,2422754,Pas bien,On me dit toujours que j'ai droit à rien ayant fait salariée - artisan - j'ai tenu 1 boutique aussi avec mon fils mais j'ai tout perdu (faillite) et on vous aide pas on doit se débrouiller pour survivre - l'allocation logement je n'y ai pas droit car c'est mon fils qui est propriétaire du petit logement qu'il m'a trouvé pour ne pas rester à la rue.,-,Bon,"Manque d'informations sur la suite, le délai...",-,Autre,de toute façon on me dit toujours que j'ai droit à rien,button
1297,Simuler mes droits sociaux,2021/01/18 13:01:57,2422750,Pas bien,"Le site me dit avoir droit à 240 € par mois d'APL et au RSA, hors d'après la CAF, je n'ai aucun de ces droits ! ",Bon,Bon,Autre,-,-,-,button
1298,Simuler mes droits sociaux,2021/01/18 13:00:44,2422741,Pas bien,c est toujours pour les meme cheque energie me dit 240e par an mais aupres de mon fournisseur j y ai pas droit donc le site est inutile ,Moyen,Moyen,-,-,-,-,button
1299,Simuler mes droits sociaux,2021/01/18 12:55:15,2422710,Pas bien,Difficulté à comprendre les définitions afin de remplir correctement les chiffres à renseigner,Moyen,Mauvais,Manque d'informations avant de commencer la démarche,-,-,-,button
1300,Simuler mes droits sociaux,2021/01/18 12:52:12,2422693,Moyen,Le montant des allocations familiales et donc ensuite de la prime d'activité est fausse,-,Bon,La démarche n'a pas fonctionné,-,-,-,button
1301,Simuler mes droits sociaux,2021/01/18 12:33:56,2422586,Pas bien,"Pourquoi proposer de faire la demande pour des prestations auxquelles je n'ai pas le droit ? De plus , si je n'y ai pas le droit , pourquoi afficher ces prestations ?",Bon,-,-,-,-,-,button
1302,Simuler mes droits sociaux,2021/01/18 12:29:21,2422564,Très bien,"rien a dire site très facile a comprendre ,cordialement Mme Lledo Jeanine",Bon,Bon,-,-,-,-,button
1303,Simuler mes droits sociaux,2021/01/18 12:14:39,2422456,Moyen," Aprés ma simulation sur mes droits 390€ prime d'activité, j'ai donc était diriger sur la caf , et il me donne le montant 0€. ",Moyen,Bon,"Manque d'informations sur la suite, le délai...",-,-,-,button
1304,Simuler mes droits sociaux,2021/01/18 12:07:38,2422388,Pas bien,"dans l'onglet situation, on devrait avoir la possibilité d'indiquer si l'on travaille.",Bon,Bon,Manque d'informations avant de commencer la démarche,-,-,-,button
1305,Simuler mes droits sociaux,2021/01/18 12:00:10,2422340,Pas bien,"je suis propriétaire et vous me proposez un logement social, je n'en souhaite pas, et vous me proposez un livret pour placer de l'argent que je n'ai pas et que je peux pas avoir vu ma retraite",Moyen,Moyen,-,-,-,-,button
1306,Simuler mes droits sociaux,2021/01/18 11:53:21,2422295,Pas bien,VOUS DITES TOUJOURS QU'ON A LE DROIT A UN CERTAIN MONTANT ET QUAND ON FAIT LES DEMANDES ON A LE DROIT A RIEN DU TOUT,Bon,Bon,La démarche n'a pas fonctionné ; Autre,QUAND ON FAIT LA DEMANDE ON A LE DROIT A RIEN DU TOUT,-,-,button
1307,Simuler mes droits sociaux,2021/01/18 11:48:20,2422260,Très bien,"Bravo pour ce site, consulté grâce à l'émission CAPITAL, de Julien Courbet sur La 6",-,Bon,Manque d'informations avant de commencer la démarche,-,-,-,button
1308,Simuler mes droits sociaux,2021/01/18 11:44:26,2422219,Moyen,"merci de preciser quand il faut donner les salaires, si c'est du brut ou du net",Moyen,Moyen,"Manque d'informations sur la suite, le délai...",-,-,-,button
1309,Simuler mes droits sociaux,2021/01/18 11:43:13,2422211,Moyen,Explication sur les aides octroyés en fonction de la composition de la famille....charges complémentaires (pension alimentaire en déduction des revenus annuels...statut d'auto-employeur (pas de revenu...),Moyen,Bon,-,-,Un(e) proche,-,button
1310,Simuler mes droits sociaux,2021/01/18 11:43:01,2422209,Très bien,je voudrais savoir si j'ai droit à une reduction sur le tele phone,Bon,Bon,-,-,-,-,button
1311,Simuler mes droits sociaux,2021/01/18 11:39:50,2422186,Très bien,"Comme depuis 1974, début de ma carrière professionnelle : NADA, aucune aide mis à part les allocations pour enfants à charge. Je comprends que certains et certaines rechignent à bosser.",Bon,Bon,-,-,-,-,button
1312,Simuler mes droits sociaux,2021/01/18 11:35:07,2422143,Moyen,"Enfant majeur, étudiante boursiere qui a travaillée quelques mois pour prétendre à une allocation pendant 6 mois. toujours sur notre avis d'imposition. Elle a un logement social à son nom. Comment remplir certaines cases (etudiante, salariée au chomage mais partiellement) pour connaitre les droits réels. Cordialement",Bon,Bon,Autre,-,Un agent administratif,-,button
1313,Simuler mes droits sociaux,2021/01/18 11:34:06,2422135,Très bien,Merci pour ce service rapide et clair !,Bon,Bon,-,-,-,-,button
1314,Simuler mes droits sociaux,2021/01/18 11:32:33,2422122,Très bien,satisfait,Bon,Bon,Autre,Difficultés a se connecté surement site saturée,-,-,button
1315,Simuler mes droits sociaux,2021/01/18 11:31:49,2422113,Pas bien,Bonjour Le site a decalé mes revenus et cela me fait perdre mes droits APL et votre site ne fonctionne pas pour la modification et vous etes injoignable cordialement,-,Moyen,La démarche n'a pas fonctionné,-,Autre,modifier une erreur faite dans mes revenus,button
1316,Simuler mes droits sociaux,2021/01/18 11:31:11,2422108,Pas bien,il me faudrait une personne compétente pour manipuler internet,Moyen,Moyen,"La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai... ; Autre",très dificile à faire pour moi qui connait pas trop internet ,Un(e) proche ; Un agent administratif,-,button
1317,Simuler mes droits sociaux,2021/01/18 11:30:22,2422100,Pas bien,"Après toutes les renseignements rentrés, au moment de découvrir ce à quoi j'ai droit, je suis victime d'un dis fonctionnement de votre site sur plusieurs tentatives ",Moyen,Moyen,La démarche n'a pas fonctionné,-,Un(e) proche,-,button
1318,Simuler mes droits sociaux,2021/01/18 11:24:05,2422044,Pas bien,Me dit que je peux disposer de l'ASS alors que je n'y ai pas accès ,Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
1319,Simuler mes droits sociaux,2021/01/18 11:23:46,2422039,Très bien,"Handicapée depuis la naissance par des problèmes de hanche, je trouve anormal d'avoir aucunes aides pour la seule raison que je travaille, et que mes problèmes de santé ne soient pas reconnue dans les maladies reconnues par la Sécurité Sociale. Donc les chances de soin ne sont pas égales pour tout le monde. Bien cordialement, ",Bon,Bon,-,-,-,-,button
1320,Simuler mes droits sociaux,2021/01/18 11:21:03,2422019,Pas bien,"Les calculs sont aléatoires  le droit à l APL sont à des années lumières de la réalité , c est n importe quoi",-,-,-,-,-,-,button
1321,Simuler mes droits sociaux,2021/01/18 11:19:09,2422008,Pas bien,comment recommencer,Bon,Bon,Autre,un incident technique est survenu,-,-,button
1322,Simuler mes droits sociaux,2021/01/18 11:10:50,2421940,Pas bien,le résultat est erroné et ne tient pas compte de la situation du demandeur au regard DES AUTRES parents. on peut avoir 5 enfants de père ou mère différent(e)s et ne pas être dans la même situation vis à vis du parent pour les enfants. Par ailleurs les montants annoncé notamment pour l'aide au logement sont complètement fafelu (annoncé 500€ effectif 130€!!)   ,Bon,Bon,Autre,Le résultat est erroné ,-,-,button
1323,Simuler mes droits sociaux,2021/01/18 11:05:40,2421895,Moyen,"Après toutes les informations demandées , il m'est indiqué que je peux prétendre à l'ASS , hors pôle emploi me l'a refusé car mon concubin gagne trop . Il y a donc un souci .  Bien cordialement ",Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
1324,Simuler mes droits sociaux,2021/01/18 11:04:31,2421878,Pas bien,Trop compliqué,Moyen,Moyen,La démarche n'a pas fonctionné,-,-,-,button
1325,Simuler mes droits sociaux,2021/01/18 11:01:59,2421861,Moyen,"C'est après que cela se corse, pour faire les demandes auxquelles je suis sensée avoir droit.",Moyen,Moyen,"Manque d'informations sur la suite, le délai...",-,Un(e) proche,-,button
1326,Simuler mes droits sociaux,2021/01/18 11:01:25,2421856,Pas bien,Comme la majorité des sites d'aides RIEN ne fonctionne contrairement aux sites de collecte d'argent (impots...). On dirait que c'est fait exprès pour ne pas connaitre nos droits. Le gouvernement ne sait faire que de la communication mensongère.,Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
1327,Simuler mes droits sociaux,2021/01/18 10:58:26,2421829,Pas bien,rien à dire sinon que comme souvent le simulateur ne fonctionne pas ,Mauvais,Moyen,La démarche n'a pas fonctionné,-,-,-,button
1328,Simuler mes droits sociaux,2021/01/18 10:56:56,2421817,Pas bien,ce n'est pas étonnant que beaucoup de personnes ne bénéficie pas des prestations qui leur sont dues. Par contre les jeunes fraudeurs passent au travers des mailles. A bonne entendeur ....,Mauvais,Mauvais,Autre,c'est une usine à gaz pour une dame de 92 ans ,Un(e) proche,-,button
1329,Simuler mes droits sociaux,2021/01/18 10:44:22,2421720,Moyen,"J'ai eu un rendez-vous TELEPHONIQUE  avec la CAF ce matin, et ils n'ont pas les mêmes ressources que vous pour Monsieur !! et ils ne peuvent pas les modifier ! Comment faire pour avoir droit ALS simulation que j'ai faites de 132 euros !! c'est à vous de transmettre les bons chiffres de janvier à avril et pour Décembre 2019 !! J'ai tout mon dossier de bloqué !!  ",Moyen,Moyen,"Manque d'informations sur la suite, le délai...",-,-,-,button
1330,Simuler mes droits sociaux,2021/01/18 10:40:26,2421684,Moyen,supprimer les aides !!!,Moyen,Moyen,Autre,PAS ASSEZ LUDIQUE ET résultat érronné,Un agent administratif,-,button
1331,Simuler mes droits sociaux,2021/01/18 10:30:10,2421603,Très bien,cite tres interessant,-,-,-,-,-,-,button
1332,Simuler mes droits sociaux,2021/01/18 10:29:03,2421592,Pas bien,les résultats sont faux. avec un revenu fiscal de 14.964 je ne pense pas avoir droit au RSA. Je souhaitais voir si je pouvais prétendre à la prime d'activité; Pas de réponse. Meilleures salutations.,Bon,-,-,-,-,-,button
1333,Simuler mes droits sociaux,2021/01/18 10:24:43,2421550,Moyen,Oui sur mes droits au logement car apl 190.99 rls 15.27 au lieu de 27.85.je vous signale que je paye à part l'eau et les poubelles....et je précise que je suis mal isolé...EDF très coûteux pour une personne seule.....cordialement. ,Moyen,Moyen,"Manque d'informations sur la suite, le délai... ; Autre",-,Autre,-,button
1334,Simuler mes droits sociaux,2021/01/18 10:24:41,2421549,Moyen,Les prestations auxquelles nous serions éligibles sont en parties fausses.je ne pense pas qu'il soit possible d'avoir 1050€ de RSA avec un revenu de référence de 53597€...,Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
1335,Simuler mes droits sociaux,2021/01/18 10:23:21,2421534,Très bien,"une question , ce n est pas la première fois que j utilise votre site mais pourquoi la caf de lille , me donne pas rls et pourquoi la caf de lille en apl me donne la moitié de votre résultat , pire la caf de lille ne considere pas ma fille en garde alternée je la garde 5 jours sur 7 une semaine sur deux  et la moitié des vacances scolaire, pour eux c est comme ci elle est virtuellle , nourriture ,logement, gasoil pour la conduite au college et la conduire chez sa mere et de la rechercher 120 km par jours  ,et je n ai aucune aide pour ma fille de 12 ans  , c est honteux , je ne touche que 1100 euro ( en invalidité)par mois avec un loyer de 400€ même pas le droit de chèque vacances , je pense que je suis un oublié de leur service  et ca dure !! ",Bon,Bon,-,-,-,-,button
1336,Simuler mes droits sociaux,2021/01/18 10:22:23,2421526,Pas bien,avec  retraites de 90 euro pour 12 ans de travaille aucunes aides  0 euro merci la france je suis fiere d'etre française,Bon,Bon,Autre,-,-,-,button
1337,Simuler mes droits sociaux,2021/01/18 10:20:36,2421509,Très bien,Non,Bon,Bon,Autre,-,-,-,button
1338,Simuler mes droits sociaux,2021/01/18 10:14:11,2421458,Moyen,"Difficile de vous joindre par téléphone, le site rame et incident technique apparaît souvent, difficile de passer d'une page à une autre, cordialement, Richard Dufay",Bon,Bon,La démarche n'a pas fonctionné ; Autre,"Le site  est débordé et rame, difficile de vous joindre par téléphone",-,-,button
1339,Simuler mes droits sociaux,2021/01/18 10:10:57,2421431,Pas bien,"Une bonne initiative mais comme d'habitude non aboutie, dommage que sa bug antan.",Bon,Bon,La démarche n'a pas fonctionné ; Difficulté à joindre les pièces justificatives ; Autre,Gros bug n'as pas pu aboutir,-,-,button
1340,Simuler mes droits sociaux,2021/01/18 10:09:12,2421420,Pas bien,le simulateur nous attribuait la prime d'activité alors que nous n'y avons pas droit sur le site de la CAF. Très déçu,Moyen,Moyen,La démarche n'a pas fonctionné,-,-,-,button
1341,Simuler mes droits sociaux,2021/01/18 10:07:15,2421402,Pas bien,a la fin de la simulation bug,-,Bon,La démarche n'a pas fonctionné,-,-,-,button
