Country/Territory,Title,Type,Link,URL,Digital Innovations,Data Infrastructure,Business Development Services,Enabling Environment for Digitalisation
papua new guinea,"Papua New Guinea National Food Security Policy
2018-2027",Part of Existing Sector Document (Agriculture/Fisheries),http://www.agriculture.gov.pg/wp-content/uploads/2018/12/National-Food-Security-Policy-2017-2027.pdf,http://www.agriculture.gov.pg/wp-content/uploads/2018/12/National-Food-Security-Policy-2017-2027.pdf,,,,
rwanda,National Agricultural Extension Strategy,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/rwa149678.pdf,http://faolex.fao.org/docs/pdf/rwa149678.pdf,,,,
rwanda,Rwanda National Agricultural Policy.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/rwa174291.pdf,http://faolex.fao.org/docs/pdf/rwa174291.pdf,,,,
rwanda,Strategic Plan for the Transformation of Agriculture in Rwanda Phase IV,Part of Existing Sector Document (Agriculture/Fisheries),https://www.minagri.gov.rw/fileadmin/user_upload/Minagri/Publications/Policies_and_strategies/PSTA4__Rwanda_Strategic_Plan_for_Agriculture_Transformation_2018.pdf,https://www.minagri.gov.rw/fileadmin/user_upload/Minagri/Publications/Policies_and_strategies/PSTA4__Rwanda_Strategic_Plan_for_Agriculture_Transformation_2018.pdf,,,,
rwanda,Cybercrime Bill,Part of National ICT/Digital Document,https://www.ilo.org/dyn/natlex/natlex4.detail?p_isn=105171,https://www.ilo.org/dyn/natlex/natlex4.detail?p_isn=105171,,,,
rwanda,SMART Rwanda Master plan 2015-2020,Part of National ICT/Digital Document,Welcome to Igihe document - SMART Rwanda Master Plan 2015 2020,https://docs.igihe.com/spip.php?page=doc-open&id_article=244,,,,
rwanda,Rwanda Law No. 18/2010 (E-Signatures & Transactions),Part of National ICT/Digital Document,WIPO Lex,https://wipolex.wipo.int/en/text/243157,,,,
saint kitts and nevis,St. Kitts Agricultural Development Strategy (ADS) (2013-2016),Part of Existing Sector Document (Agriculture/Fisheries),http://extwprlegs1.fao.org/docs/pdf/stk141099.pdf,http://extwprlegs1.fao.org/docs/pdf/stk141099.pdf,,,,
saint kitts and nevis,National ICT Strategic Plan,Part of National ICT/Digital Document,https://unstats.un.org/unsd/dnss/docViewer.aspx?docID=2297,https://unstats.un.org/unsd/dnss/docViewer.aspx?docID=2297,,,,
saint lucia,National Agricultural Policy 2009-2015.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/stl146715.pdf,http://faolex.fao.org/docs/pdf/stl146715.pdf,,,,
saint lucia,Information and Communication Technology (ICT) Sector Strategy & Action Plan,Part of National ICT/Digital Document,ICT_Action_Plan_LCA_e.pdf (oas.org),http://www.sice.oas.org/SME_CH/LCA/ICT_Action_Plan_LCA_e.pdf,,,,
saint lucia,Electronic Transactions Bill,Part of National ICT/Digital Document,Electronic Transactions Act 2007.pmd (easterncaribbeanlaw.com),http://www.easterncaribbeanlaw.com/wp-content/uploads/2014/07/Electronic-transactions-ACT.pdf,,,,
saint lucia,St. Lucia National Broadband Policy and Plan 2013-2018,Part of National ICT/Digital Document,National ict policy and strategy 2013 2018 (slideshare.net),https://www.slideshare.net/unitedpacsaintlucia/national-ict-policy-and-strategy-2013-2018,,,,
saint vincent and the grenadines,St Vincent and the Grenadines e-Government Development Strategy Plan,Part of National ICT/Digital Document,,#VALUE!,,,,
saint vincent and the grenadines,Fisheries and Aquaculture Policy 2018,Part of Existing Sector Document (Agriculture/Fisheries),,#VALUE!,,,,
saint vincent and the grenadines,Cybercrime Bill,Part of National ICT/Digital Document,http://www.assembly.gov.vc/assembly/images/stories/cybercrime%20bill%202016.pdf,http://www.assembly.gov.vc/assembly/images/stories/cybercrime bill 2016.pdf,,,,
saint vincent and the grenadines,Policy Framework and Strategic Plan for Agricultural Development 2012-2018,Part of Existing Sector Document (Agriculture/Fisheries),http://extwprlegs1.fao.org/docs/pdf/stv172929.pdf,http://extwprlegs1.fao.org/docs/pdf/stv172929.pdf,,,,
samoa,Electronic Transactions Act,Part of National ICT/Digital Document,https://samoa.tradeportal.org/media/Electronic%20Transactions%20Act%202008.pdf,https://samoa.tradeportal.org/media/Electronic Transactions Act 2008.pdf,,,,
samoa,Samoa National Cybersecurity Strategy 2016-2021,Part of National ICT/Digital Document,MCIT-Samoa-National-Cybersecurity-Strategy-2016-2021.pdf (samoagovt.ws),https://www.samoagovt.ws/wp-content/uploads/2017/02/MCIT-Samoa-National-Cybersecurity-Strategy-2016-2021.pdf,,,,
samoa,Samoa National Broadband Policy,Part of National ICT/Digital Document,https://mcit.gov.ws/wp-content/uploads/2019/04/Samoa-National-Broadband-Policy-2012.pdf,https://mcit.gov.ws/wp-content/uploads/2019/04/Samoa-National-Broadband-Policy-2012.pdf,,,,
samoa,Samoa National ICT Policy 2012-2017,Part of National ICT/Digital Document,https://tradecca.thecommonwealth.org/pdf/samoa-national-cybersecurity-strategy-2016-2021,https://tradecca.thecommonwealth.org/pdf/samoa-national-cybersecurity-strategy-2016-2021,,,,
seychelles,National Food and Nutrition Security Policy (NFNSP).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/sey175650.pdf,http://faolex.fao.org/docs/pdf/sey175650.pdf,,,,
seychelles,National ICT Policy,Part of National ICT/Digital Document,https://www.ict.gov.sc/resources/policy.pdf,https://www.ict.gov.sc/resources/policy.pdf,,,,
sierra leone,Sierra Leone Agricultural Research Institute (SLARI) Strategic Plan 2012 - 2021.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/sie199283.pdf,http://faolex.fao.org/docs/pdf/sie199283.pdf,,,,
sierra leone,National Sustainable Agriculture Development Plan 2010-2030,Part of Existing Sector Document (Agriculture/Fisheries),https://www.gafspfund.org/sites/default/files/inline-files/SL_NSADP.pdf,https://www.gafspfund.org/sites/default/files/inline-files/SL_NSADP.pdf,,,,
sierra leone,National ICT Policy,Part of National ICT/Digital Document,Ministry of Information and Communications (ellipsis.co.za),https://www.ellipsis.co.za/wp-content/uploads/2016/07/SierraLeone.pdf,,,,
singapore,Cybersecurity Act,Part of National ICT/Digital Document,Cybersecurity Act (csa.gov.sg),https://www.csa.gov.sg/legislation/cybersecurity-act,,,,
singapore,Computer Misuse Act,Part of National ICT/Digital Document,https://www.bing.com/search?q=computer+misuse+act+singapore&qs=n&form=QBRE&msbsrank=3_4__0&sp=-1&pq=computer+misuse+act+singapore&sc=4-29&sk=&cvid=CBAF1F2B9CDD4D02BC9EAA1F27B7A107,https://www.bing.com/search?q=computer+misuse+act+singapore&qs=n&form=QBRE&msbsrank=3_4__0&sp=-1&pq=computer+misuse+act+singapore&sc=4-29&sk=&cvid=CBAF1F2B9CDD4D02BC9EAA1F27B7A107,,,,
singapore,Personal Data Protection Act,Part of National ICT/Digital Document,"https://www.pwc.com/sg/en/personal-data-protection.html#:~:text=Singapore%20Personal%20Data%20Protection%20Act%202012%20%28PDPA%29%20is,amendments%20that%20takes%20effect%20on%202%20November%202020.",https://www.pwc.com/sg/en/personal-data-protection.html,,,,
singapore,eGov2015: Connecting People. Enriching Lives.,Part of National ICT/Digital Document,https://www.mynewsdesk.com/sg/ministry-of-finance/pressreleases/egov2015-connecting-people-enriching-lives-653820.pdf,https://www.mynewsdesk.com/sg/ministry-of-finance/pressreleases/egov2015-connecting-people-enriching-lives-653820.pdf,,,,
singapore,iN2015,Part of National ICT/Digital Document,realisingthevisionin2015.pdf (tech.gov.sg),https://www.tech.gov.sg/files/media/corporate-publications/2015/01/realisingthevisionin2015.pdf,,,,
singapore,Telecommunications Act,Part of National ICT/Digital Document,Telecommunications Act 1999 - Singapore Statutes Online (agc.gov.sg),https://sso.agc.gov.sg/Act/TA1999,,,,
singapore,Electronic Transactions Act,Part of National ICT/Digital Document,https://www.bing.com/newtabredir?url=https%3A%2F%2Fsso.agc.gov.sg%2FAct%2FETA2010,https://www.bing.com/search?q=electronic+transactions+act+singapore&cvid=a27de391008a4633861a4c109b49b1be&aqs=edge.0.69i59j69i60.1919j0j9&FORM=ANAB01&PC=U531,,,,
singapore,Digital Economy Framework for Action,Part of National ICT/Digital Document,sgd-framework-for-action.pdf (imda.gov.sg),https://www.imda.gov.sg/-/media/imda/files/sg-digital/sgd-framework-for-action.pdf?la=en,,,,
singapore,Model AI Governance Framework and accompanying Implementation and Self-Assessment Guide for Organisation and Compendium of Use Cases,Part of National ICT/Digital Document,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/resource-for-organisation/ai/sgmodelaigovframework2.ashx,https://www.pdpc.gov.sg/-/media/files/pdpc/pdf-files/resource-for-organisation/ai/sgmodelaigovframework2.ashx,,,,
singapore,Digital Readiness Blueprint,Part of National ICT/Digital Document,MCI_Blueprint Report_FINAL.PDF,#VALUE!,,,,
solomon islands,Information Communication Technology Policy,Part of National ICT/Digital Document,https://www.tcsi.org.sb/index.php/library/national-policy/13-150509-afs-ict-nat-ict-policy-final/file,https://www.tcsi.org.sb/index.php/library/national-policy/13-150509-afs-ict-nat-ict-policy-final/file,,,,
south africa,Agricultural Policy Action Plan (APAP) 2015-2019.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/saf191581.pdf,http://faolex.fao.org/docs/pdf/saf191581.pdf,,,,
south africa,Cybercrimes and Cybersecurity Bill,Part of National ICT/Digital Document,https://www.gov.za/documents/cybercrimes-and-cybersecurity-bill-b6-2017-21-feb-2017-0000,https://www.gov.za/documents/cybercrimes-and-cybersecurity-bill-b6-2017-21-feb-2017-0000,,,,
south africa,South Africa Broadband Policy - South Africa Connect,Part of National ICT/Digital Document,"Electronic Communications Act: South Africa Connect: Creating opportunity, ensuring inclusion South Africa's Broadband Policy (www.gov.za)",https://www.gov.za/sites/default/files/gcis_document/201409/37119gon953.pdf,,,,
south africa,National e-Government Strategy and Roadmap,Part of National ICT/Digital Document,"https://www.gov.za/sites/default/files/gcis_document/201711/41241gen886.pdf#:~:text=The%20National%20e-Government%20Strategy%20and%20Roadmap%20is%20to,technologies%20to%20improve%20their%20quality%20of%20life.%202.",https://www.gov.za/sites/default/files/gcis_document/201711/41241gen886.pdf,,,,
south africa,National Integrated ICT Policy White Paper,Part of National ICT/Digital Document,Electronic Communications Amendment Bill: Draft (pmg.org.za),https://static.pmg.org.za/ECABill.pdf,,,,
south africa,Electronic Communications and Transactions Act,Part of National ICT/Digital Document,https://www.gov.za/sites/default/files/gcis_document/201409/a25-02.pdf,https://www.gov.za/sites/default/files/gcis_document/201409/a25-02.pdf,,,,
south africa,Policy for the small-scale fisheries sector in South Africa 2012,Part of Existing Sector Document (Agriculture/Fisheries),https://www.gov.za/sites/default/files/gcis_document/201409/35455gon474.pdf,https://www.gov.za/sites/default/files/gcis_document/201409/35455gon474.pdf,,,,
south africa,"
National Marine Fisheries Policy 1997",Part of Existing Sector Document (Agriculture/Fisheries),http://www.gov.za/sites/www.gov.za/files/marine_fisheries_0.pdf,http://www.gov.za/sites/www.gov.za/files/marine_fisheries_0.pdf,,,,
south africa,National Digital and Future Skills Strategy 2020,Part of National ICT/Digital Document,https://www.gov.za/sites/default/files/gcis_document/202009/43730gen513.pdf,https://www.gov.za/sites/default/files/gcis_document/202009/43730gen513.pdf,,,,
south africa,Protection of Personal Information Act,Part of National ICT/Digital Document,Protection of Personal Information Act (www.gov.za),https://www.gov.za/sites/default/files/gcis_document/201409/3706726-11act4of2013popi.pdf,,,,
sri lanka,Sri Lanka E-agriculture Strategy.,Standalone,http://faolex.fao.org/docs/pdf/srl169703.pdf,http://faolex.fao.org/docs/pdf/srl169703.pdf,,,,
sri lanka,Electronic Transactions Act,Part of National ICT/Digital Document,electronic transactions act no. 19 of 2006.pdf (casrilanka.com),https://www.casrilanka.com/casl/images/stories/EDBA/electronic transactions act no. 19 of 2006.pdf,,,,
sri lanka,Computer Crime Act,Part of National ICT/Digital Document,Computer Crime Act (srilankalaw.lk),https://www.srilankalaw.lk/?id=239&lang=en,,,,
sri lanka,ICT Road Map 2015-2020,Part of National ICT/Digital Document,,#VALUE!,,,,
sri lanka,National Agriculture Policy (NAP),Part of Existing Sector Document (Agriculture/Fisheries),NAP Web Version - 26 March 2021.pdf (agrimin.gov.lk),https://www.agrimin.gov.lk/web/images/pdf/Policy/2021.03.27 - NAP/NAP Web Version - 26 March 2021.pdf,,,,
st. kitts and nevis,National ICT Plan,Part of National ICT/Digital Document,https://www.bing.com/search?q=National+ICT+Plan+St.+Kitts+and+nevis&cvid=e3165223a3664dd881d87ec77d24fe7c&aqs=edge..69i57.2927j0j4&FORM=ANAB01&PC=U531,https://www.bing.com/search?q=National+ICT+Plan+St.+Kitts+and+nevis&cvid=e3165223a3664dd881d87ec77d24fe7c&aqs=edge..69i57.2927j0j4&FORM=ANAB01&PC=U531,,,,
st. kitts and nevis,Electronic Transactions Act,Part of National ICT/Digital Document,https://aglcskn.info/documents/Act17TOC/Ch%2018.44%20Electronic%20Transactions%20Act.pdf,https://aglcskn.info/documents/Act17TOC/Ch 18.44 Electronic Transactions Act.pdf,,,,
st. vincent and the grenadines,National Information and Communication Technology: Strategy and Action Plan 2010-2015,Part of National ICT/Digital Document,,#VALUE!,,,,
st. vincent and the grenadines,Cybercrime Bill,Part of National ICT/Digital Document,Microsoft Word - ELECTRONIC CRIMES BILL 17Mar2010 (govt.lc),http://www.govt.lc/media.govt.lc/www/resources/legislation/ElectronicCrimesBill.pdf,,,,
st. vincent and the grenadines,Electronic Transactions Act,Part of National ICT/Digital Document,Electronic Transactions Act 2007.pmd (easterncaribbeanlaw.com),http://www.easterncaribbeanlaw.com/wp-content/uploads/2014/07/Electronic-transactions-ACT.pdf,,,,
st. vincent and the grenadines,St Vincent and the Grenadines e-Government Development Strategy Plan,Part of National ICT/Digital Document,,#VALUE!,,,,
Tanzania,Agricultural Sector Development Programme.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/tan169870.pdf,http://faolex.fao.org/docs/pdf/tan169870.pdf,,,,
Tanzania,Agricultural Sector Development Strategy - II 2015/2016 - 2024/2025.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/tan160643.pdf,http://faolex.fao.org/docs/pdf/tan160643.pdf,,,,
Tanzania,National Trade Policy,Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/tan148257.pdf,http://faolex.fao.org/docs/pdf/tan148257.pdf,,,,
Tanzania,Electronic and Postal Communications Regulations 2020,,,#VALUE!,,,,
Tanzania,National Fisheries Policy 2020,Part of Existing Sector Document (Agriculture/Fisheries),https://www.mifugouvuvi.go.tz/uploads/publications/en1595837773-NATIONAL%20FISHERIES%20POLICY%202015.pdf,https://www.mifugouvuvi.go.tz/uploads/publications/en1595837773-NATIONAL FISHERIES POLICY 2015.pdf,,,,
Tanzania,National Agriculture Policy 2013,Part of Existing Sector Document (Agriculture/Fisheries),"https://www.climate-laws.org/geographies/tanzania/policies/national-agriculture-policy-2013#:~:text=National%20Agriculture%20Policy%202013,-Executive&text=The%20Policy%20aims%20among%20others,adaptation%20to%20climate%20change%20effects.",https://www.climate-laws.org/geographies/tanzania/policies/national-agriculture-policy-2013,,,,
Tanzania,National Information and Communications Technology Policy 2016,Part of National ICT/Digital Document,https://www.ega.go.tz/uploads/publications/sw-1574848612-SERA%202016.pdf,https://www.ega.go.tz/uploads/publications/sw-1574848612-SERA 2016.pdf,,,,
the gambia,The Gambian ICT4D-2012 Plan (update 2016/2017),Part of National ICT/Digital Document,https://ellipsis.co.za/wp-content/uploads/2016/07/Gambia.pdf,https://ellipsis.co.za/wp-content/uploads/2016/07/Gambia.pdf,,,,
the gambia,Information and Communications Act,Part of National ICT/Digital Document,,#VALUE!,,,,
tonga,Tonga Marine Aquarium Fishery Management and Development Plan 2017-2019.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ton176162.pdf,http://faolex.fao.org/docs/pdf/ton176162.pdf,,,,
tonga,Tonga Deepwater Fishery Management Plan 2017-2019,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ton174007.pdf,http://faolex.fao.org/docs/pdf/ton174007.pdf,,,,
tonga,Cyber Crimes Legislation,Part of National ICT/Digital Document,https://rm.coe.int/16802f2474,https://rm.coe.int/16802f2474,,,,
tonga,The Tonga Agriculture Sector Plan (TASP) 2016-2020,Part of Existing Sector Document (Agriculture/Fisheries),https://pafpnet.spc.int/attachments/article/574/Tonga Agriculture Sector Plan 2016-2020.pdf,#VALUE!,,,,
trinidad and tobago,"Ministry of Food Production, Land and Marine Affairs (MFPLMA) Strategic Plan 2011-2015.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/tri180159.pdf,http://faolex.fao.org/docs/pdf/tri180159.pdf,,,,
trinidad and tobago,Electronic Transactions Act,Part of National ICT/Digital Document,https://tradeind.gov.tt/wp-content/uploads/2016/02/Electronic-Transactions-Act-No.-6-of-2011.pdf,https://tradeind.gov.tt/wp-content/uploads/2016/02/Electronic-Transactions-Act-No.-6-of-2011.pdf,,,,
trinidad and tobago,National ICT Plan ICT Blueprint 2018-2022,Part of National ICT/Digital Document,https://mpa.gov.tt/sites/default/files/file_upload/publications/ICT%20BLUEPRINT%20JULY%202019.pdf,https://mpa.gov.tt/sites/default/files/file_upload/publications/ICT BLUEPRINT JULY 2019.pdf,,,,
trinidad and tobago,National e-Commerce Strategy 2017-2021,Part of National ICT/Digital Document,https://tradeind.gov.tt/national-e-commerce-strategy-2017-2021/,https://tradeind.gov.tt/national-e-commerce-strategy-2017-2021/,,,,
tuvalu,"Tuvalu National Agriculture Sector Plan, 2016-2023.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/tuv170765.pdf,http://faolex.fao.org/docs/pdf/tuv170765.pdf,,,,
tuvalu,Infrastructure Strategy and Investment Plan (10 year plan),Part of National ICT/Digital Document,"https://www.theprif.org/sites/default/files/documents/15-TISIP%20Final%20Report.pdf#:~:text=The%20Tuvalu%20Infrastructure%20Strategy%20and%20Investment%20Plan%20%28TISIP%29,and%20assesses%20the%20financial%20resources%20to%20support%20implementation.",https://www.theprif.org/sites/default/files/documents/15-TISIP Final Report.pdf,,,,
uganda,"National Agriculture Policy, 2013.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/uga160265.pdf,http://faolex.fao.org/docs/pdf/uga160265.pdf,,,,
uganda,Agriculture Sector Strategic Plan 2015/16-2019/20.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/uga181565.pdf,http://faolex.fao.org/docs/pdf/uga181565.pdf,,,,
uganda,Electronic Transactions Act,Part of National ICT/Digital Document,https://ict.go.ug/wp-content/uploads/2019/12/UGANDA-Electronic-Transactions-Act-No.-8-of-2011.pdf,https://ict.go.ug/wp-content/uploads/2019/12/UGANDA-Electronic-Transactions-Act-No.-8-of-2011.pdf,,,,
uganda,Computer Misuse Act,Part of National ICT/Digital Document,"https://africanlii.org/content/computer-misuse-act-2011-act-2-2011-0#:~:text=The%20Act%20began%20as%20Computer%20Misuse%20Bill%20No.,environment%20that%20was%20free%20of%20abuse%20and%20misuse.%E2%80%9D",https://africanlii.org/content/computer-misuse-act-2011-act-2-2011-0,,,,
uganda,Electronic Signatures Act,Part of National ICT/Digital Document,"https://ict.go.ug/2019/12/03/the-electronics-signatures-act-2011/#:~:text=An%20Act%20to%20make%20provision,provide%20for%20other%20related%20matters.",https://ict.go.ug/2019/12/03/the-electronics-signatures-act-2011/,,,,
uganda,National Fisheries and Aquaculture Policy,Part of Existing Sector Document (Agriculture/Fisheries),http://extwprlegs1.fao.org/docs/pdf/uga201565.pdf,http://extwprlegs1.fao.org/docs/pdf/uga201565.pdf,,,,
uganda,National ICT Policy 2014,Part of National ICT/Digital Document,ICT_Policy_2014.pdf,https://ict.go.ug/wp-content/uploads/2018/11/ICT_Policy_2014.pdf,,,,
united kingdom,The Path to Sustainable Farming: An Agricultural Transition Plan 2021 to 2024.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/uk201438.pdf,http://faolex.fao.org/docs/pdf/uk201438.pdf,,,,
united kingdom,Future Telecoms Infrastructure Review,Part of National ICT/Digital Document,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/732496/Future_Telecoms_Infrastructure_Review.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/732496/Future_Telecoms_Infrastructure_Review.pdf,,,,
united kingdom,Digital Economy Act,Part of National ICT/Digital Document,https://www.gov.uk/government/collections/digital-economy-bill-2016,https://www.gov.uk/government/collections/digital-economy-bill-2016,,,,
united kingdom,Government ICT Strategy,Part of National ICT/Digital Document,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/85968/uk-government-government-ict-strategy_0.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/85968/uk-government-government-ict-strategy_0.pdf,,,,
united kingdom,Digital Economy Strategy 2015-2018,Part of National ICT/Digital Document,https://www.ukri.org/wp-content/uploads/2021/12/IUK-081221-DigitalEconomyStrategy2015To2018.pdf,https://www.ukri.org/wp-content/uploads/2021/12/IUK-081221-DigitalEconomyStrategy2015To2018.pdf,,,,
united kingdom,National Cyber Security Strategy 2016-2021,Part of National ICT/Digital Document,https://www.gov.uk/government/publications/national-cyber-strategy-2022/national-cyber-security-strategy-2022,https://www.gov.uk/government/publications/national-cyber-strategy-2022/national-cyber-security-strategy-2022,,,,
united kingdom,Electronic Communications Act,Part of National ICT/Digital Document,https://www.legislation.gov.uk/ukpga/2000/7,https://www.legislation.gov.uk/ukpga/2000/7,,,,
united kingdom,Government Digital Strategy,Part of National ICT/Digital Document,UK Digital Strategy 2017 - GOV.UK (www.gov.uk),https://www.gov.uk/government/publications/uk-digital-strategy/uk-digital-strategy,,,,
united republic of tanzania,National Information and Communications Technology Policy,Part of National ICT/Digital Document,cover National ICT Policy (ellipsis.co.za),https://www.ellipsis.co.za/wp-content/uploads/2016/07/Tanzania_ICT.pdf,,,,
united republic of tanzania,Electronic Transactions Act,Part of National ICT/Digital Document,https://www.bing.com/search?q=Electronic+Transactions+Act+Tanzania&qs=n&form=QBRE&msbsrank=4_5__0&sp=-1&pq=electronic+transactions+act+tanzania&sc=5-36&sk=&cvid=301E358223BE4026A2CBC04D72881C0C,https://www.bing.com/search?q=Electronic+Transactions+Act+Tanzania&qs=n&form=QBRE&msbsrank=4_5__0&sp=-1&pq=electronic+transactions+act+tanzania&sc=5-36&sk=&cvid=301E358223BE4026A2CBC04D72881C0C,,,,
united republic of tanzania,Cybercrimes Act,Part of National ICT/Digital Document,,#VALUE!,,,,
vanuatu,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity Corporate Plan 2014-2018.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/van167039.pdf,http://faolex.fao.org/docs/pdf/van167039.pdf,,,,
vanuatu,Vanuatu National Information and Communication Technology Policy,Part of National ICT/Digital Document,https://www.trbr.vu/attachments/category/166/vanuatu_national_ict_policy.pdf,https://www.trbr.vu/attachments/category/166/vanuatu_national_ict_policy.pdf,,,,
vanuatu,Vanuatu National Cybersecurity Policy,Part of National ICT/Digital Document,https://tradecca.thecommonwealth.org/document/vanuatu-national-cybersecurity-policy,https://tradecca.thecommonwealth.org/document/vanuatu-national-cybersecurity-policy,,,,
vanuatu,E-Business Act,Part of National ICT/Digital Document,https://www.vfsc.vu/e-business-act-no-25-of-2000-and-amendments/,https://www.vfsc.vu/e-business-act-no-25-of-2000-and-amendments/,,,,
vanuatu,National Cybersecurity Strategy 2030,Part of National ICT/Digital Document,https://cert.gov.vu/index.php/resources/policies-and-strategies,https://cert.gov.vu/index.php/resources/policies-and-strategies,,,,
vanuatu,National Fisheries Sector Policy 2016-2031,Part of Existing Sector Document (Agriculture/Fisheries),https://www.nab.vu/sites/default/files/documents/National%20Fisheries%20policy%20FINAL%20FINAL%20FINAL_0.pdf,https://www.nab.vu/sites/default/files/documents/National Fisheries policy FINAL FINAL FINAL_0.pdf,,,,
zambia,SMART Zambia eGovernment Masterplan 2018-2030,Part of National ICT/Digital Document,https://www.szi.gov.zm/wp-content/uploads/2022/01/eGOVERNMENT_Masterplan_v3.0.pdf,https://www.szi.gov.zm/wp-content/uploads/2022/01/eGOVERNMENT_Masterplan_v3.0.pdf,,,,
zambia,Eight (8) Public Service ICT Standards,Part of National ICT/Digital Document,,#VALUE!,,,,
zambia,Smart Zambia Initiative,Part of National ICT/Digital Document,,#VALUE!,,,,
zambia,Digital Identity Country Profile: Zambia,Part of National ICT/Digital Document,,#VALUE!,,,,
zambia,Electronic Communications and Transactions Act,Part of National ICT/Digital Document,https://www.parliament.gov.zm/node/8842,https://www.parliament.gov.zm/node/8842,,,,
zambia,The Information and Communication Technologies Act,Part of National ICT/Digital Document,https://tradecca.thecommonwealth.org/pdf/information-and-communication-technologies-act-2001-amended-december-2018,https://tradecca.thecommonwealth.org/pdf/information-and-communication-technologies-act-2001-amended-december-2018,,,,
zambia,Zambia ICT Policy,Part of National ICT/Digital Document,https://thezambian.com/wp-content/uploads/2007/04/Zambia-Information-and-Communication-Technology-Policy.pdf,https://thezambian.com/wp-content/uploads/2007/04/Zambia-Information-and-Communication-Technology-Policy.pdf,,,,
zambia,Second National Agricultural Policy,Part of Existing Sector Document (Agriculture/Fisheries),SECOND-NATIONAL-AGRICULTURAL-POLICY-2016.pdf (cbz.org.zm),http://cbz.org.zm/public/downloads/SECOND-NATIONAL-AGRICULTURAL-POLICY-2016.pdf,,,,
botswana,Digital Connectivity Standards,Part of National ICT/Digital Document,https://smartbots.gov.bw/sites/default/files/2021-10/Digital_Connectivity_Standards_V4_2021.pdf,https://smartbots.gov.bw/sites/default/files/2021-10/Digital_Connectivity_Standards_V4_2021.pdf,,,,
botswana,National Information and Communication Technology (ICT) Strategy,Part of National ICT/Digital Document,"https://publicadministration.un.org/unpsa/Portals/0/UNPSA_Submitted_Docs/2019/f912b59f-5963-4335-9dff-194a1a522c49/Maitlamo%20Policy_26112019_083359_d807e512-ea2e-4d56-8fba-60679904b985.pdf?ver=2019-11-26-083359-520#:~:text=The%20National%20Information%20and%20Communications,and%20Communications%20Technology%20(ICT).",https://publicadministration.un.org/unpsa/Portals/0/UNPSA_Submitted_Docs/2019/f912b59f-5963-4335-9dff-194a1a522c49/Maitlamo Policy_26112019_083359_d807e512-ea2e-4d56-8fba-60679904b985.pdf?ver=2019-11-26-083359-520,,,,
cameroon,National Strategy of Digital Cameroon,Part of National ICT/Digital Document,eGovernment Master Plan,#VALUE!,,,,
cameroon,eGovernment Master Plan,Part of National ICT/Digital Document,,#VALUE!,,,,
canada,Digital Government Strategy,Part of National ICT/Digital Document,https://www.canada.ca/en/government/system/digital-government/digital-government-strategy.html,https://www.canada.ca/en/government/system/digital-government/digital-government-strategy.html,,,,
,Policy Statement on Electronic Commerce and the Bahamian Digital Agenda,,,#VALUE!,,,,
bangladesh,Bangladesh National Agriculture Policy 2018,Part of Existing Sector Document (Agriculture/Fisheries),"Bangladesh
National Agriculture Policy 2018",https://bangladeshbiosafety.org/wp-content/uploads/2021/03/National-Agricullture-Policy_2018_English.pdf,,,,
bangladesh,National Blockchain Strategy,Part of National ICT/Digital Document,,#VALUE!,,,,
bangladesh,National Strategy for Artificial Intelligence,Part of National ICT/Digital Document,,#VALUE!,,,,
bangladesh,National Internet of Things Strategy,Part of National ICT/Digital Document,,#VALUE!,,,,
