,Country/Territory,Title,Type,Link,URL,PDF_Name,digital innovation,data infrastructure,business development,enabling environment,Data is defined,Definition of data
150,saint lucia,National Agricultural Policy 2009-2015.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/stl146715.pdf,http://faolex.fao.org/docs/pdf/stl146715.pdf,150.pdf,,,,"to promote efficiency, nurture entrepreneurship, foster commercialization of products and processes (from research results) and provide a stable investment climate along the value chain, with special emphasis on building supply capacity. the ministry of agriculture will assume oversight and regulatory responsibilities for the production, value adding (through processing, or other",,
151,saint lucia,Information and Communication Technology (ICT) Sector Strategy & Action Plan,Part of National ICT/Digital Document,ICT_Action_Plan_LCA_e.pdf (oas.org),http://www.sice.oas.org/SME_CH/LCA/ICT_Action_Plan_LCA_e.pdf,151.pdf,,,,for ict use in saint lucia and does not pay attention to the development of the sector in terms of commercial prospects. potential economic impact for saint lucia the function of the ict services sector generally and for saint lucia is two-fold: (1) the ict sector functions as a key,,
153,saint vincent and the grenadines,Cybercrime Bill,Part of National ICT/Digital Document,http://www.assembly.gov.vc/assembly/images/stories/cybercrime%20bill%202016.pdf,http://www.assembly.gov.vc/assembly/images/stories/cybercrime bill 2016.pdf,153.pdf,,,,,,
154,saint vincent and the grenadines,Policy Framework and Strategic Plan for Agricultural Development 2012-2018,Part of Existing Sector Document (Agriculture/Fisheries),http://extwprlegs1.fao.org/docs/pdf/stv172929.pdf,http://extwprlegs1.fao.org/docs/pdf/stv172929.pdf,154.pdf,,,"services and training to the private sector. its operations aim at creating, nurturing and strengthening the local private sector”. � ministry of rural transformation (mort). the ministry has a mission of “to improve the standard of living in rural communities through transformative development; to facilitate the transformation of the public","(e.g., institutional, physical infrastructure; private sector enterprises). the problems of weak market information flows and infrastructure, and unorganized producers have been overcome in the past with well-developed value- chains for bananas and arrowroot aimed at target markets. wibdeco is seeking to grow similar initiatives for the non-traditional produce. 9 2001",,
155,samoa,Electronic Transactions Act,Part of National ICT/Digital Document,https://samoa.tradeportal.org/media/Electronic%20Transactions%20Act%202008.pdf,https://samoa.tradeportal.org/media/Electronic Transactions Act 2008.pdf,155.pdf,,,,,,
157,samoa,Samoa National Broadband Policy,Part of National ICT/Digital Document,https://mcit.gov.ws/wp-content/uploads/2019/04/Samoa-National-Broadband-Policy-2012.pdf,https://mcit.gov.ws/wp-content/uploads/2019/04/Samoa-National-Broadband-Policy-2012.pdf,157.pdf,,,,,,
158,seychelles,National Food and Nutrition Security Policy (NFNSP).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/sey175650.pdf,http://faolex.fao.org/docs/pdf/sey175650.pdf,158.pdf,,,,in which both sectors can develop and grow sustainably. 47. seychelles is following through with its resolve and commitment to the caadp compact to allocate to agriculture and fisheries the necessary resources for improved performance and productivity– from commercial intensive production systems through to home gardening and across the whole,,
159,seychelles,National ICT Policy,Part of National ICT/Digital Document,https://www.ict.gov.sc/resources/policy.pdf,https://www.ict.gov.sc/resources/policy.pdf,159.pdf,,,,"for public and private sector participation in promoting ict awareness programmes. (xi) encourage gender mainstreaming - in ict programmes and development. (xii) promote and support the development of appropriately qualified ict personnel, who will meet the needs of the public and private sector. 7 national ict policy for seychelles national",,
160,sierra leone,Sierra Leone Agricultural Research Institute (SLARI) Strategic Plan 2012 - 2021.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/sie199283.pdf,http://faolex.fao.org/docs/pdf/sie199283.pdf,160.pdf,,,,"for agricultural research to contribute towards making agriculture the engine for national economic growth. when fully operational, slari shall be composed of seven research centres spread throughout the country. the centres include (i) njala agricultural research centre; (ii) rokupr agricultural research centre; (iii) kabala horticultural crops research centre; (iv) teko",,
161,sierra leone,National Sustainable Agriculture Development Plan 2010-2030,Part of Existing Sector Document (Agriculture/Fisheries),https://www.gafspfund.org/sites/default/files/inline-files/SL_NSADP.pdf,https://www.gafspfund.org/sites/default/files/inline-files/SL_NSADP.pdf,161.pdf,,,,through the review of investment and other related policies. the sector coordination and management sub-programme will ensure an effective and coordinated implementation and management of the sector activities. it is hoped that the successful implementation of the nsadp will ensure the sector plays its role as the engine for socio-economic,,
162,sierra leone,National ICT Policy,Part of National ICT/Digital Document,Ministry of Information and Communications (ellipsis.co.za),https://www.ellipsis.co.za/wp-content/uploads/2016/07/SierraLeone.pdf,162.pdf,,"(nsdi) to provide easy access to national geospatial data (instead of data kept manually in shelves or drawers) and to mainstream the use of gi into the government’s decision making process. c2 issues a. inadequate core geographical data sets and thematic data sets, and the lack of a national geographic",,"for ict development by: • giving guidelines about the evolution of the legal framework to take into account the convergence of sectors and the convergence of technologies. • defining the role of the national institutions and industry stakeholders in the new environment: policy maker, regulator, national ict advisory council, private",,
163,singapore,eGov2015: Connecting People. Enriching Lives.,Part of National ICT/Digital Document,https://www.mynewsdesk.com/sg/ministry-of-finance/pressreleases/egov2015-connecting-people-enriching-lives-653820.pdf,https://www.mynewsdesk.com/sg/ministry-of-finance/pressreleases/egov2015-connecting-people-enriching-lives-653820.pdf,163.pdf,,,,,,
164,singapore,iN2015,Part of National ICT/Digital Document,realisingthevisionin2015.pdf (tech.gov.sg),https://www.tech.gov.sg/files/media/corporate-publications/2015/01/realisingthevisionin2015.pdf,164.pdf,,,"centre of excellence (gbd coe) the gbd coe is a tripartite effort by ida, ida international and ie singapore to help the singapore infocomm industry to scale up global business development and increase business opportunities in overseas markets. the gbd coe activities in the coming years will serve to develop",,,
165,singapore,Digital Economy Framework for Action,Part of National ICT/Digital Document,sgd-framework-for-action.pdf (imda.gov.sg),https://www.imda.gov.sg/-/media/imda/files/sg-digital/sgd-framework-for-action.pdf?la=en,165.pdf,,,,,,
166,south africa,Agricultural Policy Action Plan (APAP) 2015-2019.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/saf191581.pdf,http://faolex.fao.org/docs/pdf/saf191581.pdf,166.pdf,,,"and support 74 7.5 sip11 77 7.6 biosecurity 78 8. apap planning, monitoring and evaluation 79 8.1 introduction 79 8.2 apap planning process 80 8.3 planning, monitoring and reporting responsibilities 81 8.4 apap high level (outcome) indicators 83 9. bibliography 82 tables and figures table 1: the employment creation potential",,,
167,south africa,South Africa Broadband Policy - South Africa Connect,Part of National ICT/Digital Document,"Electronic Communications Act: South Africa Connect: Creating opportunity, ensuring inclusion South Africa's Broadband Policy (www.gov.za)",https://www.gov.za/sites/default/files/gcis_document/201409/37119gon953.pdf,167.pdf,,,,"for the rollout of broadband infrastructure and the production of associated content, applications and services. it does this by indicating possible adjustments to the structure of the industry and the institutional framework necessary for effective regulation of an open and fair competitive environment. furthermore, it encourages public and private investment",,
168,south africa,National e-Government Strategy and Roadmap,Part of National ICT/Digital Document,"https://www.gov.za/sites/default/files/gcis_document/201711/41241gen886.pdf#:~:text=The%20National%20e-Government%20Strategy%20and%20Roadmap%20is%20to,technologies%20to%20improve%20their%20quality%20of%20life.%202.",https://www.gov.za/sites/default/files/gcis_document/201711/41241gen886.pdf,168.pdf,,,,,,
169,south africa,National Integrated ICT Policy White Paper,Part of National ICT/Digital Document,Electronic Communications Amendment Bill: Draft (pmg.org.za),https://static.pmg.org.za/ECABill.pdf,169.pdf,,,,,,
170,south africa,Electronic Communications and Transactions Act,Part of National ICT/Digital Document,https://www.gov.za/sites/default/files/gcis_document/201409/a25-02.pdf,https://www.gov.za/sites/default/files/gcis_document/201409/a25-02.pdf,170.pdf,,,,,,
171,south africa,Policy for the small-scale fisheries sector in South Africa 2012,Part of Existing Sector Document (Agriculture/Fisheries),https://www.gov.za/sites/default/files/gcis_document/201409/35455gon474.pdf,https://www.gov.za/sites/default/files/gcis_document/201409/35455gon474.pdf,171.pdf,,,,"for job creation through a viable small scale fisheries sector within the larger fisheries management regime in south africa. 1.4.3 food security fish is an important source of protein - particularly where other sources of animal protein are scarce or expensive. in south africa, however, per capita fish consumption is",,
173,south africa,National Digital and Future Skills Strategy 2020,Part of National ICT/Digital Document,https://www.gov.za/sites/default/files/gcis_document/202009/43730gen513.pdf,https://www.gov.za/sites/default/files/gcis_document/202009/43730gen513.pdf,173.pdf,"skills ................................................................... 12 2.2 colabs, digital tech hubs and incubators ................................................................................................ 13 2.3 open online courses ............................................................................................................................... 14 2.4 academic capacity-building in tvets and universities .............................................................................. 14 3. strategy element 3: skills for industry 4.0 and the world of work ...................................... 14 3.1 digital skills for economy 4.0 ................................................................................................................ 15",,,,,
174,south africa,Protection of Personal Information Act,Part of National ICT/Digital Document,Protection of Personal Information Act (www.gov.za),https://www.gov.za/sites/default/files/gcis_document/201409/3706726-11act4of2013popi.pdf,174.pdf,,,,,,
175,sri lanka,Sri Lanka E-agriculture Strategy.,Standalone,http://faolex.fao.org/docs/pdf/srl169703.pdf,http://faolex.fao.org/docs/pdf/srl169703.pdf,175.pdf,,,,"and ensure strategic alignment with other sectoral developments;  proactively coordinate with key stakeholders from agriculture, banking, telecom, it, governance, agromet, insurance and donor agencies to enhance synergy; and  increase the transparency and awareness on policies and regulations; sri lanka e-agriculture strategy 2016 47 8.0 national e-agriculture action plan",,
177,sri lanka,National Agriculture Policy (NAP),Part of Existing Sector Document (Agriculture/Fisheries),NAP Web Version - 26 March 2021.pdf (agrimin.gov.lk),https://www.agrimin.gov.lk/web/images/pdf/Policy/2021.03.27 - NAP/NAP Web Version - 26 March 2021.pdf,177.pdf,,,,,,
178,st. kitts and nevis,Electronic Transactions Act,Part of National ICT/Digital Document,https://aglcskn.info/documents/Act17TOC/Ch%2018.44%20Electronic%20Transactions%20Act.pdf,https://aglcskn.info/documents/Act17TOC/Ch 18.44 Electronic Transactions Act.pdf,178.pdf,,,,,,
179,st. vincent and the grenadines,Cybercrime Bill,Part of National ICT/Digital Document,Microsoft Word - ELECTRONIC CRIMES BILL 17Mar2010 (govt.lc),http://www.govt.lc/media.govt.lc/www/resources/legislation/ElectronicCrimesBill.pdf,179.pdf,,,,,,
181,Tanzania,Agricultural Sector Development Programme.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/tan169870.pdf,http://faolex.fao.org/docs/pdf/tan169870.pdf,181.pdf,,,"(offer) for psps. although lgas will be final beneficiaries of subsidies, there is a need for technical support from the national and regional level to: (i) organize solid and harmonized subsidy systems; (ii) coordinate actions between public and private stakeholders at all levels, including linkages to other cvc supports; (iii)","for regional seed and breed exchange and trade; and (iv) programme coordination and management at national and regional levels. for the regional coordination activities, each participating country contributes about 2.7% of its budget to asareca18, for regional coordination activities. 15 asdp and sagcot cover both the southern highland corridor area",,
182,Tanzania,Agricultural Sector Development Strategy - II 2015/2016 - 2024/2025.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/tan160643.pdf,http://faolex.fao.org/docs/pdf/tan160643.pdf,182.pdf,,,,"for private sector to invest in agriculture including agro-processing. the pattern of growth of the economy is influenced by the transformation of the agricultural sector through value addition of primary products, thereby influencing investments in industry and service sectors. following improvement in business environment, the number of plants for processing",,
183,Tanzania,National Trade Policy,Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/tan148257.pdf,http://faolex.fao.org/docs/pdf/tan148257.pdf,183.pdf,,,"services bet: board of external trade best: programme for business environment strengthening for tanzania boot: build own operate transfer bot: build, operate and transfer / bank of tanzania brela: business registration and licensing agency camartec: centre for agricultural mechanisation & rural technology cti: confederation of tanzanian industry ddb: duty draw","consistent with the implementation of a dynamic trade policy; • adoption and implementation of appropriate sector policies in key economic and social sectors; • increase in savings and investments; • transformation of agriculture; • development of market linkages; and, • human capital development. 5.2 5.2 5.2 5.2 5.2 policy instruments",,
184,Tanzania,National Fisheries Policy 2020,Part of Existing Sector Document (Agriculture/Fisheries),https://www.mifugouvuvi.go.tz/uploads/publications/en1595837773-NATIONAL%20FISHERIES%20POLICY%202015.pdf,https://www.mifugouvuvi.go.tz/uploads/publications/en1595837773-NATIONAL FISHERIES POLICY 2015.pdf,184.pdf,,,,,,
185,Tanzania,National Information and Communications Technology Policy 2016,Part of National ICT/Digital Document,https://www.ega.go.tz/uploads/publications/sw-1574848612-SERA%202016.pdf,https://www.ega.go.tz/uploads/publications/sw-1574848612-SERA 2016.pdf,185.pdf,,,,for the ict industry. the success of this policy framework relies to a great extent on the cooperation of all stakeholders. i welcome continued support for and participation of all stakeholders in its implementation in order to realize the objectives of tanzania’s sustained social economic development and transformation into a,,
186,the gambia,The Gambian ICT4D-2012 Plan (update 2016/2017),Part of National ICT/Digital Document,https://ellipsis.co.za/wp-content/uploads/2016/07/Gambia.pdf,https://ellipsis.co.za/wp-content/uploads/2016/07/Gambia.pdf,186.pdf,,,,"for the development of the information society • promoting ict applications that will benefits all aspects of life including those relating to: e-government, e-business, e-learning, e-health, e-employment, e-environment, e- agriculture and e-science • promoting and ensuring cultural diversity and identity, linguistic diversity and local content • supporting various aspects of",,
187,tonga,Tonga Marine Aquarium Fishery Management and Development Plan 2017-2019.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ton176162.pdf,http://faolex.fao.org/docs/pdf/ton176162.pdf,187.pdf,,,,,,
188,tonga,Tonga Deepwater Fishery Management Plan 2017-2019,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ton174007.pdf,http://faolex.fao.org/docs/pdf/ton174007.pdf,188.pdf,,,,,,
189,trinidad and tobago,"Ministry of Food Production, Land and Marine Affairs (MFPLMA) Strategic Plan 2011-2015.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/tri180159.pdf,http://faolex.fao.org/docs/pdf/tri180159.pdf,189.pdf,,,"corporation idb- inter-american development bank ima- institute of marine affairs llpb- livestock and livestock products board namdevco- national agricultural marketing and development corporation nffa- national food-crops farmers association niherst- national institute for higher education in research, science & technology sfdc- seafood industry development committee, ttaba- trinidad and tobago agribusiness association","3. infrastructure development and maintenance 4. natural resource and environmental management: 1. institutional coordination and strengthening - agricultural research, technology and innovation platform: identify an umbrella institution to synergise all existing institutions and information on research and development for agriculture. this will include issues of tissue culture, product identification and",,
190,trinidad and tobago,Electronic Transactions Act,Part of National ICT/Digital Document,https://tradeind.gov.tt/wp-content/uploads/2016/02/Electronic-Transactions-Act-No.-6-of-2011.pdf,https://tradeind.gov.tt/wp-content/uploads/2016/02/Electronic-Transactions-Act-No.-6-of-2011.pdf,190.pdf,,,,,,
191,trinidad and tobago,National ICT Plan ICT Blueprint 2018-2022,Part of National ICT/Digital Document,https://mpa.gov.tt/sites/default/files/file_upload/publications/ICT%20BLUEPRINT%20JULY%202019.pdf,https://mpa.gov.tt/sites/default/files/file_upload/publications/ICT BLUEPRINT JULY 2019.pdf,191.pdf,,,"support, infrastructure, operational and financial assistance that will assist in the growth and success of new and existing micro and small enterprises (mses). specifically, ibis will assist smes by providing assistance in the areas of mentoring, infrastructural support, information technology, operational support, financing, as well as networking opportunities for access",for citizens and businesses to adapt to the demands and exploit the opportunities afforded by ict and the new economy. we must be cognisant that trinidad and tobago is a small island developing state in a globalised international community. a community which has changed significantly as a result of scientific,,
192,tuvalu,"Tuvalu National Agriculture Sector Plan, 2016-2023.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/tuv170765.pdf,http://faolex.fao.org/docs/pdf/tuv170765.pdf,192.pdf,,,"for communities rd, doa year 1-4 1.4.3 promote new opportunities for improved livelihoods of households 1.4.3.1 promote joint venture programmes involving private sector and communities rd, mnr, doa, kaupule year 1-3 1.4.3.2 encourage community participation in economic ventures through group action, cooperatives, joint ventures etc. rd, doa, falekaupule, farmers associations,",for agriculture development 2 institutional strengthening in agriculture 3 increase productivity of farmers 4 establish marketing system of local agricultural products 5 increase community participation in agriculture 6 raise awareness about the value of nutritious food for a healthy body the national agriculture sector plan (2016 to 2023) is a,,
194,uganda,"National Agriculture Policy, 2013.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/uga160265.pdf,http://faolex.fao.org/docs/pdf/uga160265.pdf,194.pdf,,,,,,
195,uganda,Agriculture Sector Strategic Plan 2015/16-2019/20.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/uga181565.pdf,http://faolex.fao.org/docs/pdf/uga181565.pdf,195.pdf,,,services bfp budget framework paper caadp comprehensive africa agriculture development programme cbms community based management system cci cross cutting issues cdo cotton development organization coctu coordinating office for control of trypanosomiasis in uganda comesa common market for eastern and southern africa cops code of practices crgs competitive research grants scheme,"................................................................................................. 20 2.2.4 institutional strengthening ......................................................................................... 20 2.3 challenges faced during the dsip period ............................................................................ 22 2.3.1 crop related challenges............................................................................................... 22 2.3.2 livestock and fisheries related challenges ................................................................. 23 2.3.3 lessons learnt and opportunities from dsip .............................................................. 23 3 the strategic direction of the sector .............................................................................. 25 3.1 assp’s vision,",,
196,uganda,Electronic Transactions Act,Part of National ICT/Digital Document,https://ict.go.ug/wp-content/uploads/2019/12/UGANDA-Electronic-Transactions-Act-No.-8-of-2011.pdf,https://ict.go.ug/wp-content/uploads/2019/12/UGANDA-Electronic-Transactions-Act-No.-8-of-2011.pdf,196.pdf,,,,,,
197,uganda,National Fisheries and Aquaculture Policy,Part of Existing Sector Document (Agriculture/Fisheries),http://extwprlegs1.fao.org/docs/pdf/uga201565.pdf,http://extwprlegs1.fao.org/docs/pdf/uga201565.pdf,197.pdf,,,,"that provides fishers and fish farmers with incentives and confidence to invest in fisheries resources. at the same time, there is caution to focus on elimination of wasteful destructive over-capacity and move towards a progressive recovery of fish stocks and to improve safety of quality of fish on the market3.uganda",,
198,uganda,National ICT Policy 2014,Part of National ICT/Digital Document,ICT_Policy_2014.pdf,https://ict.go.ug/wp-content/uploads/2018/11/ICT_Policy_2014.pdf,198.pdf,,,,for the internet and new technologies ........................................ 37 5.2 ict applications- benefits in all aspects of life ........................................................................ 38 5.2.1 e-government ......................................................................................................................... 38 5.2.2 e-commerce ........................................................................................................................... 39 5.2.3 ict in education ..................................................................................................................... 40 5.2.4 ict in health .......................................................................................................................... 40 5.2.5 e-employment ........................................................................................................................ 41 5.2.6 ict and the environment......................................................................................................... 41 5.2.7,,
199,united kingdom,The Path to Sustainable Farming: An Agricultural Transition Plan 2021 to 2024.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/uk201438.pdf,http://faolex.fao.org/docs/pdf/uk201438.pdf,199.pdf,,,,,,
200,united kingdom,Future Telecoms Infrastructure Review,Part of National ICT/Digital Document,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/732496/Future_Telecoms_Infrastructure_Review.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/732496/Future_Telecoms_Infrastructure_Review.pdf,200.pdf,,,,,,
201,united kingdom,Government ICT Strategy,Part of National ICT/Digital Document,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/85968/uk-government-government-ict-strategy_0.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/85968/uk-government-government-ict-strategy_0.pdf,201.pdf,,,,,,
202,united kingdom,Digital Economy Strategy 2015-2018,Part of National ICT/Digital Document,https://www.ukri.org/wp-content/uploads/2021/12/IUK-081221-DigitalEconomyStrategy2015To2018.pdf,https://www.ukri.org/wp-content/uploads/2021/12/IUK-081221-DigitalEconomyStrategy2015To2018.pdf,202.pdf,"is essential for business and key to the uk’s competitiveness. our digital economy programme will commit £15m a year to support innovative business projects and a further £15m a year as core funding to support the digital catapult centre, the open data institute and tech city uk, each of which",,,,,
203,united republic of tanzania,National Information and Communications Technology Policy,Part of National ICT/Digital Document,cover National ICT Policy (ellipsis.co.za),https://www.ellipsis.co.za/wp-content/uploads/2016/07/Tanzania_ICT.pdf,203.pdf,,,,for the ict industry. the success of this policy framework relies to a great extent on the cooperation of all stakeholders. i welcome continued support for and participation of all stakeholders in its implementation in order to realize the objectives of tanzania’s sustained social economic development and transformation into a,,
204,vanuatu,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity Corporate Plan 2014-2018.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/van167039.pdf,http://faolex.fao.org/docs/pdf/van167039.pdf,204.pdf,,,,,,
205,vanuatu,Vanuatu National Information and Communication Technology Policy,Part of National ICT/Digital Document,https://www.trbr.vu/attachments/category/166/vanuatu_national_ict_policy.pdf,https://www.trbr.vu/attachments/category/166/vanuatu_national_ict_policy.pdf,205.pdf,,,"and employment opportunities) and democratic participants of vanuatu, providing access to icts to students has strong additional positive externalities, as there is a high likelihood that they would transfer such skills to their families, and assist such families in 1. access to icts in education impetus to the socio-economic development","attractive to private investments, the government will pay significant attention to the sustainability of such environment. the government considers that such sustainability requires for private investments to deliver demonstrably tangible value to the national socio-economic development. therefore its policies aimed at attracting such investments and investor-targeting will consider both: (a)",,
206,vanuatu,National Fisheries Sector Policy 2016-2031,Part of Existing Sector Document (Agriculture/Fisheries),https://www.nab.vu/sites/default/files/documents/National%20Fisheries%20policy%20FINAL%20FINAL%20FINAL_0.pdf,https://www.nab.vu/sites/default/files/documents/National Fisheries policy FINAL FINAL FINAL_0.pdf,206.pdf,,,,,,
209,zambia,Second National Agricultural Policy,Part of Existing Sector Document (Agriculture/Fisheries),SECOND-NATIONAL-AGRICULTURAL-POLICY-2016.pdf (cbz.org.zm),http://cbz.org.zm/public/downloads/SECOND-NATIONAL-AGRICULTURAL-POLICY-2016.pdf,209.pdf,,,,,,
211,botswana,National Information and Communication Technology (ICT) Strategy,Part of National ICT/Digital Document,"https://publicadministration.un.org/unpsa/Portals/0/UNPSA_Submitted_Docs/2019/f912b59f-5963-4335-9dff-194a1a522c49/Maitlamo%20Policy_26112019_083359_d807e512-ea2e-4d56-8fba-60679904b985.pdf?ver=2019-11-26-083359-520#:~:text=The%20National%20Information%20and%20Communications,and%20Communications%20Technology%20(ICT).",https://publicadministration.un.org/unpsa/Portals/0/UNPSA_Submitted_Docs/2019/f912b59f-5963-4335-9dff-194a1a522c49/Maitlamo Policy_26112019_083359_d807e512-ea2e-4d56-8fba-60679904b985.pdf?ver=2019-11-26-083359-520,211.pdf,,,,"for the growth of a sustainable ict industry. honourable pelonomi venson-moitoi minister of communications, science and technology foreword 1 summary 2 1 background 3 2 national ict vision, goals and objectives 4 3 benchmarking and e-readiness assessments 5 4 ict legal framework 6 5 developing botswana’s national ict policy 7",,
212,bangladesh,Bangladesh National Agriculture Policy 2018,Part of Existing Sector Document (Agriculture/Fisheries),"Bangladesh
National Agriculture Policy 2018",https://bangladeshbiosafety.org/wp-content/uploads/2021/03/National-Agricullture-Policy_2018_English.pdf,212.pdf,,,,,,
